moduleCode,title,semesters
AC5001,Architectural History of Singapore,[1]
AC5002,Conservation Approaches and Philosophies,[1]
AC5003,Urban Conservation and Regeneration,[2]
AC5004,Architectural Heritage Management,[2]
AC5005,Conservation Policy Methodology for Sustainable Development,[2]
AC5006,Disaster Risk Management of Cultural Heritage,[1]
AC5007,Dissertation,[1]
AC5009,Design for Adaptive Reuse,[1]
AC5011,Conservation of C20th Buildings,[1]
AC5014,Internship,[1]
ACC1701,Accounting for Decision Makers,"[1, 2]"
ACC1701X,Accounting for Decision Makers,"[1, 2]"
ACC2706,Managerial Accounting,"[1, 2]"
ACC2707,Corporate Accounting & Reporting I,"[1, 2]"
ACC2708,Corporate Accounting & Reporting II,"[1, 2]"
ACC2709,Accounting Information Systems,"[1, 2]"
ACC3701,Assurance and Attestation,"[1, 2]"
ACC3702,Corporate and Securities Law,"[1, 2]"
ACC3703,Taxation,"[1, 2]"
ACC3704,Advanced Corporate Accounting and Reporting,"[1, 2]"
ACC3705,Valuation,"[1, 2]"
ACC3706,Corporate Governance and Risk Management,"[1, 2]"
ACC3707,Integrated Perspectives in Accounting and Business,"[1, 2]"
ACC4611,Advanced Taxation,[2]
ACC4612A,SIA: Internal Auditing,[2]
ACC4614,Financial Institution Audit & Compliance,[2]
ACC4615,Advanced Assurance and Attestation,[2]
ACC4616,Accounting Theory,[2]
ACC4619,Advanced Independent Study in Accounting,[1]
ACC4629,Advanced Independent Study in Accounting,[1]
ACC4711,Advanced Taxation,"[1, 2]"
ACC4712,Forensic Accounting,[1]
ACC4713,Financial Institution Audit & Compliance,"[1, 2]"
ACC4714,Advanced Assurance and Attestation,"[1, 2]"
ACC4751,Advanced Independent Study in Accounting,[1]
ACC4752,Advanced Independent Study in Accounting (2 MCs),[1]
ACC4761A,Seminars in Accounting: Internal Audit,"[1, 2]"
ACC4761H,Sem. in Acctg: Accounting & Business Analysis for Banks,"[1, 2]"
ACE5401,Approaches to Arts & Cultural Entrepreneurship,[2]
ACE5403,Internship,[3]
ACE5404,Heritage: Peoples and Institutions,[1]
ACE5405,Cultural Industries and the Law,[2]
ACE5406,Arts Business,[1]
ACE5407,"Museums, Exhibitions and Curation",[1]
ACE5408,Managing Cultural Events,[2]
ACE5409,Applied Heritage,[2]
ACE5410,Cultural Diplomacy and Intelligence,[2]
ACE5411,Cultural Analytics and Informatics,[2]
AH2101,Introduction to Art History,"[1, 2]"
AH2201,Chinese Painting: Styles and Masters,[1]
AH2203,"Empire and Art: India, Singapore, Malaya",[2]
AH2204,"Art in Southeast Asia, 4th-14th centuries CE",[1]
AH3202,Time Traveller: The Curatorial in Southeast Asia,[2]
AH3204,Methods and Approaches to Art History,[1]
AH3205,Southeast Asian Art and Modernity,[2]
ALS1010,Learning to Learn Better,"[1, 2]"
AN1101E,Anthropology & Human Condition,[1]
AN2101,Research Methods in Anthropology,[2]
AN2202,Culture and Society,[2]
AN2206,Humans and Natures,[2]
AR1101,Design I,[1]
AR1102,Design 2,[2]
AR1329,"Climate, Ecology & Architecture",[2]
AR2101,Design 3,[1]
AR2102,Design 4,[2]
AR2222,History & Theory Of Western Architecture,[2]
AR2225,Reading Visual Images,"[1, 2]"
AR2228,History & Theory of Architecture II,[1]
AR2328,Architectural Construction & Tectonics,[1]
AR2522,Computational Thinking: Performance Based Design,[1]
AR2524,Spatial Computational Thinking,[2]
AR3101,Design 5,[1]
AR3101A,Design 5 (Landscape Architecture Emphasis),[1]
AR3102,Design 6,[2]
AR3102A,Design 6 (Landscape Architecture Emphasis),[2]
AR3151,Design - ISM,[2]
AR3223,Introduction to Urbanism,[1]
AR3411,Architecture Internship Programme,[1]
AR3412,Work Experience Internship,"[1, 2]"
AR3721,Building Environmental System Modelling,"[1, 2]"
AR4002,Advanced Architectural Study 2,[2]
AR4421,Architecture Internship Programme,"[1, 2]"
AR4955,Topics in Architectural Design,[1]
AR5011,Research Methodology,"[1, 2]"
AR5121,Special Topics in Technology,[1]
AR5221,Contemporary Theories,"[1, 2]"
AR5321,Advanced Architectural Integration,[1]
AR5423,Architectural Practice,"[1, 2]"
AR5601,Urban Design Theory and Praxis,"[1, 2]"
AR5770,Graduate Seminar,[1]
AR5801,Options Design Research Studio 1,[1]
AR5802,Options Design Research Studio 2,"[1, 2]"
AR5803,Architectural & Technology Design 1,[1]
AR5804,Architectural & Technology Design 2,[2]
AR5805,Advanced Architecture Studio,[1]
AR5806,Architectural Design Research Report,[1]
AR5807,Architectural Design Thesis,"[1, 2]"
AR5808,Final Design Project,[2]
AR5951F,Topics in History & Theory of Architecture 6,[2]
AR5951G,Topics in History and Theory of Architecture 7,[2]
AR5951H,Topics in History and Theory of Architecture 8,[2]
AR5952B,Topics in Urbanism 2,[1]
AR5952H,Topics in Urbanism 8,[2]
AR5952I,Topics in Urbanism 9,[2]
AR5952J,Topics in Urbanism 10,[2]
AR5952K,Topics in Urbanism 11,[2]
AR5952L,Topics in Urbanism 12,[2]
AR5953G,Topics in Design Technology 7,[2]
AR5953H,Topics in Design Technology 8,[2]
AR5953I,Topics in Design Technology 9,[2]
AR5954,Topics in Landscape Architecture,[2]
AR5954A,Topics in Landscape Architecture 1,[1]
AR5954C,Topics in Landscape Architecture,[2]
AR5955,Topics in Research by Design,[1]
AR5955A,Topics in Research by Design 1,[1]
AR5955B,Topics in Research by Design 2,[1]
AR5955C,Topics in Research by Design 3,[1]
AR5955D,Topics in Research by Design 4,[1]
AR5955E,Topics in Research by Design 5,[1]
AR5955F,Topics in Research by Design 6,[1]
AR5955G,Topics in Research by Design 7,[2]
AR5955I,Topics in Research by Design 9,[2]
AR5956A,Topics in Design and Built Environment 1,[1]
AR5956B,Topics in Design and Built Environment 2,[1]
AR5956C,Topics in Design and Built Environment 3,[1]
AR5956D,Topics in Design and Built Environment 4,[1]
AR5956E,Topics in Design and Built Environment 5,[1]
AR5957A,Topics in History and Theory of Architecture 1,[1]
AR5957B,Topics in History and Theory of Architecture 2,[1]
AR5957D,Topics in History and Theory of Architecture 4,[1]
AR5957E,Topics in History and Theory of Architecture 5,[1]
AR5957F,Topics in History and Theory of Architecture 6,[1]
AR5957M,Topics in History and Theory of Architecture 13,[2]
AR5958A,Topics in Urbanism 1,[1]
AR5958B,Topics in Urbanism 2,[1]
AR5958C,Topics in Urbanism 3,[1]
AR5958D,Topics in Urbanism 4,[1]
